City-Town,Parish,Region
Atchafalaya,St. Martin,Acadiana
Athens,Claiborne,Northwest
Athlone,Concordia,Central
Atkins,Bossier,Northwest
Atlanta,Winn,Central
Attakapas Canal,Assumption,Bayou
Avery Island,Iberia,Acadiana
Avondale,Jefferson,Southeast
Aycock,Claiborne,Northwest
Azucena,Tensas,Northeast
Bains,West Feliciana,Capital
Baker,East Baton Rouge,Capital
Bakers,Franklin,Northeast
Baldwin,St. Mary,Bayou
Ball,Rapides,Central
Ballina,Concordia,Central
Bancker,Vermilion,Acadiana
Bancroft,Beauregard,Southwest
Banks Springs,Caldwell,Northeast
Baptist,Tangipahoa,Southeast
Barataria,Jefferson,Southeast
Bardel,Richland,Northeast
Barksdale,Bossier,Northwest
Barnet Springs,Lincoln,Northwest
Barton,Ascension,Capital
Basile,Acadia,Acadiana
Baskin,Franklin,Northeast
Baskinton,Franklin,Northeast
Bassa Bassa,Jefferson,Southeast
Bastrop,Morehouse,Northeast
Batchelor,Pointe Coupee,Capital
Baton Rouge,East Baton Rouge,Capital
Battle,East Feliciana,Capital
Bawcomville-Brownsville,Ouachita,Northeast
Bayou Barbary,Livingston,Capital
Bayou Black Settlement,Terrebonne,Bayou
Bayou Cane,Terrebonne,Bayou
Bayou Chene,St. Martin,Acadiana
Bayou Chicot,Evangeline,Acadiana
Bayou Cholas,Jefferson,Southeast
Bayou Corne,Assumption,Bayou
Bayou Current,St. Landry,Acadiana
Bayou Gauche,St. Charles,Southeast
Bayou Geneve,St. Martin,Acadiana
Bayou Goula,Iberville,Capital
Bayou Sale,St. Mary,Bayou
Bayou Sara,West Feliciana,Capital
Bayou Sorrel,Iberville,Capital
Bayou Vista,St. Mary,Bayou
Baywood,East Baton Rouge,Capital
Bear Creek,Bienville,Northwest
Beauregard,Beauregard,Southwest
Beaver,Evangeline,Acadiana
Bee Bayou,Richland,Northeast
Beech Springs,Jackson,Northwest
Beekman,Morehouse,Northeast
Beggs,St. Landry,Acadiana
Bel,Allen,Southwest
Belair,Plaquemines,Southeast
Belcher,Caddo,Northwest
Bell City,Calcasieu,Southwest
Belle Alliance,Assumption,Bayou
Belle Chasse,Plaquemines,Southeast
Belle Helene,Ascension,Capital
Belle River,Assumption,Bayou
Belle Rose,Assumption,Bayou
Belle Terre,Assumption,Bayou
Belledeau,Avoyelles,Central
Bellevue,Bossier,Northwest
Bellwood,Natchitoches,Northwest
Belmont,Sabine,Northwest
Benson,DeSoto,Northwest
Bentley,Grant,Central
Benton,Bossier,Northwest
Bermuda,Natchitoches,Northwest
Bernice,Union,Northeast
Bertie,Assumption,Bayou
Bertrandville,Plaquemines,Southeast
Berwick,St. Mary,Bayou
Bethany,Caddo,Northwest
Bienville,Bienville,Northwest
Big Bend,Avoyelles,Central
Big Branch,St. Tammany,Southeast
Big Cane,St. Landry,Acadiana
Big Island,Rapides,Central
Billeaud,Lafayette,Acadiana
Bivens,Beauregard,Southwest
Black Hawk,Concordia,Central
Blackburn,Claiborne,Northwest
Blade,LaSalle,Central
Blairstown,East Feliciana,Capital
Blanchard,Caddo,Northwest
Blanks,Pointe Coupee,Capital
Blankston,Caldwell,Northeast
Blond,St. Tammany,Southeast
Bluff Creek,East Feliciana,Capital
Bob Acres,Iberia,Acadiana
Bodcau,Bossier,Northwest
Boeuf,Assumption,Bayou
Bogalusa,Washington,Southeast
Bohemian,Plaquemines,Southeast
Bolinger,Bossier,Northwest
Bolivar,Tangipahoa,Southeast
Bond,Allen,Southwest
Bonfouca,St. Tammany,Southeast
Bonita,Morehouse,Northeast
Book,Catahoula,Central
Boothville-Venice,Plaquemines,Southeast
Bordelonville,Avoyelles,Central
Borodino,Avoyelles,Central
Bosco,Ouachita,Northeast
Bossier,Bossier,Northwest
Bossier City,Bossier,Northwest
Boston,Vermilion,Acadiana
Boudreaux,Terrebonne,Bayou
Bourg,Terrebonne,Bayou
Boutte,St. Charles,Southeast
Bowie,East Carroll,Northeast
Boyce,Rapides,Central
Braithwaite,Plaquemines,Southeast
Branch,Acadia,Acadiana
Brandon,West Feliciana,Capital
Brannon,Iberia,Acadiana
Breaux Bridge,St. Martin,Acadiana
Breezy Hill,Grant,Central
Bridge City,Jefferson,Southeast
Brignac,Ascension,Capital
Bristol,St. Landry,Acadiana
Brittany,Ascension,Capital
Broadmoor,Lafayette,Acadiana
Brooks,Pointe Coupee,Capital
Broussard,Avoyelles,Central
Broussard,Lafayette,Acadiana
Brousville,Iberia,Acadiana
Brown,Bienville,Northwest
Brownell,Franklin,Northeast
Brownfields,East Baton Rouge,Capital
Brownsville- Bawcomville,Ouachita,Northeast
Brownview,Pointe Coupee,Capital
Brule Guillot,Lafourche,Bayou
Bruly La Croix,Iberville,Capital
Bruly St. Martin,Assumption,Bayou
Brusly,West Baton Rouge,Capital
Bryceland,Bienville,Northwest
Buckeye,Rapides,Central
Buckner,Richland,Northeast
Bueche,West Baton Rouge,Capital
Buhler,Calcasieu,Southwest
Bundick,Beauregard,Southwest
Bunkie,Avoyelles,Central
Buras-Triumph,Plaquemines,Southeast
Burbridge,Plaquemines,Southeast
Burke,Iberia,Acadiana
Burns,St. Mary,Bayou
Burnside,Ascension,Capital
Burr Ferry,Vernon,Central
Burrwood,Plaquemines,Southeast
Burtville,East Baton Rouge,Capital
Bush,St. Tammany,Southeast
Bushes,Franklin,Northeast
Butte La Rose,St. Martin,Acadiana
Caddo,Caddo,Northwest
Cade,St. Martin,Acadiana
Cadeville,Ouachita,Northeast
Caernarvon,St. Bernard,Southeast
Calcasieu,Rapides,Central
Calhoun,Ouachita,Northeast
Calumet,St. Mary,Bayou
Calvin,Winn,Central
Camardelle,St. Charles,Southeast
Cameron,Cameron,Southwest
Cameron Farms,Cameron,Southwest
Camp,Claiborne,Northwest
Camp Dewey,Plaquemines,Southeast
Campti,Natchitoches,Northwest
Cancienne,Assumption,Bayou
Canebrake,Concordia,Central
Caney,Vernon,Central
Cankton,St. Landry,Acadiana
Carencro,Lafayette,Acadiana
Carlisle,Plaquemines,Southeast
Carlyss,Calcasieu,Southwest
Carmel,DeSoto,Northwest
Carney,West Feliciana,Capital
Carroll,Red River,Northwest
Carterville,Bossier,Northwest
Carville,Iberville,Capital
Caspiana,Caddo,Northwest
Cassandria,Avoyelles,Central
Castor,Bienville,Northwest
Catahoula,St. Martin,Acadiana
Catahoula Cove,St. Martin,Acadiana
Catuna,DeSoto,Northwest
Cecil,Union,Northeast
Cecile,Caddo,Northwest
Cecilia,St. Martin,Acadiana
Cedar Grove,Plaquemines,Southeast
Cedarton,Lincoln,Northwest
Center Point,Avoyelles,Central
Centerville,Evangeline,Acadiana
Centerville,St. Mary,Bayou
Central,St. James,Southeast
Central,Terrebonne,Bayou
Central,East Baton Rouge,Capital
Chacahoula,Terrebonne,Bayou
Chackbay,Lafourche,Bayou
Chalmette,St. Bernard,Southeast
Chamberlin,West Baton Rouge,Capital
Charenton,St. Mary,Bayou
Charlieville,Richland,Northeast
Chase,Franklin,Northeast
Chataignier,Evangeline,Acadiana
Chatham,Jackson,Northwest
Chautauqua Springs,Lincoln,Northwest
Chauvin,Terrebonne,Bayou
Chef Menteur,Orleans,Southeast
Chenal,Pointe Coupee,Capital
Cheneyville,Rapides,Central
Cheniere,Ouachita,Northeast
Cheniere au Tigre,Vermilion,Acadiana
Chesbrough,Tangipahoa,Southeast
Chestnut,Natchitoches,Northwest
Chickasaw,West Carroll,Northeast
China,Jefferson Davis,Southwest
Chinchuba,St. Tammany,Southeast
Chipola,St. Helena,Capital
Chloe,Calcasieu,Southwest
Choctaw,Lafourche,Bayou
Chopin,Natchitoches,Northwest
Choudrant,Lincoln,Northwest
Church Point,Acadia,Acadiana
Cinclare,West Baton Rouge,Capital
City Price,Plaquemines,Southeast
Claiborne,Ouachita,Northeast
Claiborne,Claiborne,Northwest
Clare,Sabine,Northwest
Clarence,Natchitoches,Northwest
Clarks,Caldwell,Northeast
Clay,Jackson,Northwest
Clayton,Concordia,Central
Clear Lake,Natchitoches,Northwest
Clear Water,Evangeline,Acadiana
Clifton,Rapides,Central
Clifton,Washington,Southeast
Clinton,East Feliciana,Capital
Clio,Livingston,Capital
Cloutierville,Natchitoches,Northwest
Coburn,Sabine,Northwest
Cocke,Terrebonne,Bayou
Cocodrie,Terrebonne,Bayou
Cocoville,Avoyelles,Central
Coldwater,Winn,Central
Cole,East Feliciana,Capital
Coleman,Madison,Northeast
Colfax,Grant,Central
Collinsburg,Bossier,Northwest
Collinston,Morehouse,Northeast
Colquitt,Claiborne,Northwest
Colsons,Union,Northeast
Columbia,Caldwell,Northeast
Columbus,Sabine,Northwest
Comite,East Baton Rouge,Capital
Como,Franklin,Northeast
Concession,Plaquemines,Southeast
Concord,West Carroll,Northeast
Convent,St. James,Southeast
Converse,Sabine,Northwest
Conway,Union,Northeast
Coochie,Concordia,Central
Coon,Pointe Coupee,Capital
Coopers,Vernon,Central
Cooter Point,Tensas,Northeast
Copenhagen,Caldwell,Northeast
Cora,Vernon,Central
Corey,Caldwell,Northeast
Corinth,Lincoln,Northwest
Cornor,West Feliciana,Capital
Cossinade,Vermilion,Acadiana
Coteau Holmes,St. Martin,Acadiana
Cotton Plant,Caldwell,Northeast
Cotton Valley,Webster,Northwest
Cottonport,Avoyelles,Central
Couchwood,Webster,Northwest
Couley,Winn,Central
Coushatta,Red River,Northwest
Covington,St. Tammany,Southeast
Cow Island,Vermilion,Acadiana
Crane,Rapides,Central
Cravens,Vernon,Central
Creola,Grant,Central
Creole,Cameron,Southwest
Crescent,Iberville,Capital
Creston,Natchitoches,Northwest
Crew Lake,Richland,Northeast
Crews,Winn,Central
Crichton,Red River,Northwest
Crimea,Tensas,Northeast
Cross Roads,Red River,Northwest
Crowley,Acadia,Acadiana
Crown Point,Jefferson,Southeast
Crowville,Franklin,Northeast
Crozier,Terrebonne,Bayou
Cullen,Webster,Northwest
Curtis,Bossier,Northwest
Cut Off,Lafourche,Bayou
Cutoff,Orleans,Southeast
Cypress,Natchitoches,Northwest
Dalcour,Plaquemines,Southeast
Danville,Bienville,Northwest
D'Arbonne,Union,Northeast
Darlington,St. Helena,Capital
Darnell,West Carroll,Northeast
Darrow,Ascension,Capital
Davant,Plaquemines,Southeast
De Loutre,Union,Northeast
Dean,Union,Northeast
Dearborn,Tensas,Northeast
Deer Park,Concordia,Central
Deer Range,Plaquemines,Southeast
Deerford,East Baton Rouge,Capital
Dehlco,Richland,Northeast
Delacambre,Iberia Vermilion,Acadiana
Delacroix,St. Bernard,Southeast
Delhi,Richland,Northeast
Delombre,East Feliciana,Capital
Delta,Madison,Northeast
Delta Farms,Lafourche,Bayou
Deltabridge,Tensas,Northeast
Denham Springs,Livingston,Capital
Dennis Mills,St. Helena,Capital
Denson,Livingston,Capital
DeQuincy,Calcasieu,Southwest
DeRidder,Beauregard,Southwest
Derouen,Iberia,Acadiana
Derry,Natchitoches,Northwest
Des Allemands,St. Charles,Southeast
Deshotels,St. Landry,Acadiana
Dess,Sabine,Northwest
Destrehan,St. Charles,Southeast
Deville,Rapides,Central
Diamond,Plaquemines,Southeast
Dido,Vernon,Central
Dixie,Caddo,Northwest
Dixie Inn,Webster,Northwest
Dodson,Winn,Central
Donaldsonville,Ascension,Capital
Donner,Terrebonne,Bayou
Dorcheat,Webster,Northwest
Dorig,Richland,Northeast
Dorseyville,Iberville,Capital
Dossman,Evangeline,Acadiana
Douglas,Lincoln,Northwest
Downsville,Union,Northeast
Doyline,Webster,Northwest
Drew,Ouachita,Northeast
Dry Creek,Beauregard,Southwest
Dry Prong,Grant,Central
Dubach,Lincoln,Northwest
Dubberly,Webster,Northwest
Dubuisson,Pointe Coupee,Capital
Dulac,Terrebonne,Bayou
Dunbarton,Concordia,Central
Dunlap,Avoyelles,Central
Dunn,Richland,Northeast
Duplessis,Ascension,Capital
Dupont,Avoyelles,Central
Dupont,Pointe Coupee,Capital
Duson,Lafayette,Acadiana
Dutch Town,Ascension,Capital
Duty,Catahoula,Central
Duvic,Plaquemines,Southeast
Dykesville,Claiborne,Northwest
East Hodge,Jackson,Northwest
East Point,Red River,Northwest
Easton,Evangeline,Acadiana
Eastwood,Bossier,Northwest
Ecco,Webster,Northwest
Echo,Rapides,Central
Eden,La Salle,Central
Eden Isle,St. Tammany,Southeast
Edgard,St. John the Baptist,Southeast
Edgefield,Red River,Northwest
Edgerly,Calcasieu,Southwest
Edna,Jefferson Davis,Southwest
Effie,Avoyelles,Central
Egan,Acadia,Acadiana
Elam,Franklin,Northeast
Elba,St. Landry,Acadiana
Elizabeth,Allen,Southwest
Elkhorn,Concordia,Central
Ellendale,Terrebonne,Bayou
Ellerslie,St. Mary,Bayou
Ellis,Acadia,Acadiana
Ellsworth,Terrebonne,Bayou
Elm Grove,Bossier,Northwest
Elm Park,West Feliciana,Capital
Elmer,Rapides,Central
Elmwood,Jefferson,Southeast
Elton,Jefferson Davis,Southwest
Empire,Plaquemines,Southeast
English Lookout,St. Tammany,Southeast
English Turn,Plaquemines,Southeast
Enoka,Madison,Northeast
Enon,Washington,Southeast
Enterprise,Catahoula,Central
Eola,Avoyelles,Central
Epps,West Carroll,Northeast
Erath,Vermilion,Acadiana
Eros,Jackson,Northwest
Erwinville,West Baton Rouge,Capital
Essen,East Baton Rouge,Capital
Estelle,Jefferson,Southeast
Esther,Vermilion,Acadiana
Estherwood,Acadia,Acadiana
Esto,Sabine,Northwest
Ethel,East Feliciana,Capital
Eunice,St. Landry,Acadiana
Eureka,Ouachita,Northeast
Eva,Concordia,Central
Evangeline,Acadia,Acadiana
Evangeline,Evangeline,Acadiana
Evans,Vernon,Central
Evelyn,DeSoto,Northwest
Evergreen,Avoyelles,Central
Ewing,Lafourche,Bayou
Extension,Franklin,Northeast
Fairbanks,Ouachita,Northeast
Faircloth,Grant,Central
Fairview,Concordia,Central
Farmerville,Union,Northeast
Felixville,East Feliciana,Capital
Felps,East Feliciana,Capital
Fenris,Evangeline,Acadiana
Fenton,Jefferson Davis,Southwest
Ferguson,Bossier,Northwest
Ferriday,Concordia,Central
Ferry Lake,Caddo,Northwest
Fields,Beauregard,Southwest
Fillmore,Bossier,Northwest
Fisher,Sabine,Northwest
Fishville,Grant,Central
Flat Creek,Winn,Central
Flatwoods,Rapides,Central
Flora,Natchitoches,Northwest
Florenville,St. Tammany,Southeast
Florien,Sabine,Northwest
Flournoy,Caddo,Northwest
Floyd,West Carroll,Northeast
Fluker,Tangipahoa,Southeast
Foley,Allen,Southwest
Folsom,St. Tammany,Southeast
Fondale,Ouachita,Northeast
Fontenot,Allen,Southwest
Forbing,Caddo,Northwest
Fordoche,Pointe Coupee,Capital
Foremans Hall,Jefferson Davis,Southwest
Forest,West Carroll,Northeast
Forest Hill,Rapides,Central
Forked Island,Vermilion,Acadiana
Forksville,Ouachita,Northeast
Fort Jesup,Sabine,Northwest
Fort Necessity,Franklin,Northeast
Fort Polk North,Vernon,Central
Fort Polk South,Vernon,Central
Fort St. Philip,Plaquemines,Southeast
Foules,Catahoula,Central
Four Corners,St. Mary,Bayou
Four Forks,Caddo,Northwest
Fowler,Ouachita,Northeast
Franklin,St. Mary,Bayou
Franklinton,Washington,Southeast
Fred,East Baton Rouge,Capital
Freetown,Assumption,Bayou
French Settlement,Livingston,Capital
Frenier,St. John the Baptist,Southeast
Frey,Acadia,Acadiana
Friendship,Bienville,Northwest
Frierson,DeSoto,Northwest
Frisco,Pointe Coupee,Capital
Frogmore,Concordia,Central
Frost,Livingston,Capital
Fryeburg,Bienville,Northwest
Fullerton,Vernon,Central
Fulton,Beauregard,Southwest
Funston,DeSoto,Northwest
Gaars Mills,Winn,Central
Gahagan,Red River,Northwest
Galbraith,Natchitoches,Northwest
Galliano,Lafourche,Bayou
Gallion,Morehouse,Northeast
Galva,St. John the Baptist,Southeast
Galvez,Ascension,Capital
Gandy,Sabine,Northwest
Gansville,Winn,Central
Garden City,St. Mary,Bayou
Gardere,East Baton Rouge,Capital
Gardner,Rapides,Central
Garyville,St. John the Baptist,Southeast
Gas Spur,Webster,Northwest
Gassoway,East Carroll,Northeast
Gayles,Caddo,Northwest
Ged,Calcasieu,Southwest
Geismar,Ascension,Capital
Genesee,Tangipahoa,Southeast
Georgetown,Grant,Central
Georgeville,St. Helena,Capital
Gheens,Lafourche,Bayou
Gibbstown,Cameron,Southwest
Gibsland,Bienville,Northwest
Gibson,Terrebonne,Bayou
Gilark,Webster,Northwest
Gilbert,Franklin,Northeast
Gilead,East Feliciana,Capital
Gilliam,Caddo,Northwest
Gillis,Calcasieu,Southwest
Girard,Richland,Northeast
Glade,Catahoula,Central
Glasscock,Concordia,Central
Glencoe,St. Mary,Bayou
Glenmora,Rapides,Central
Glenwild,St. Mary,Bayou
Gloster,DeSoto,Northwest
Glynn,Pointe Coupee,Capital
Gold Dust,Avoyelles,Central
Golden Meadow,Lafourche,Bayou
Goldman,Tensas,Northeast
Goldonna,Natchitoches,Northwest
Goldridge,Iberville,Capital
Gonzales,Ascension,Capital
Good Hope,St. Charles,Southeast
Good Pine,LaSalle,Central
Goodbee,St. Tammany,Southeast
Goodwill,West Carroll,Northeast
Gordon,Claiborne,Northwest
Gordy,St. Mary,Bayou
Gorum,Natchitoches,Northwest
Goss,DeSoto,Northwest
Goudeau,Avoyelles,Central
Graham,Rapides,Central
Grambling,Lincoln,Northwest
Gramercy,St. James,Southeast
Grand Bayou,Assumption,Bayou
Grand Bayou,Red River,Northwest
Grand Cane,DeSoto,Northwest
Grand Cheniere,Cameron,Southwest
Grand Coteau,St. Landry,Acadiana
Grand Ecaille,Plaquemines,Southeast
Grand Ecore,Natchitoches,Northwest
Grand Isle,Jefferson,Southeast
Grand Lake,Cameron,Southwest
Grand Prairie,St. Landry,Acadiana
Grangeville,St. Helena,Capital
Grant,Allen,Southwest
Grappes Bluff,Natchitoches,Northwest
Gray,Terrebonne,Bayou
Grays,East Feliciana,Capital
Grayson,Caldwell,Northeast
Greenlaw,Tangipahoa,Southeast
Greens Ditch,Orleans,Southeast
Greensburg,St. Helena,Capital
Greenwell Springs,East Baton Rouge,Capital
Greenwood,Plaquemines,Southeast
Greenwood,Terrebonne,Bayou
Greenwood,Caddo,Northwest
Gretna,Jefferson,Southeast
Griffin,Franklin,Northeast
Grimes,East Carroll,Northeast
Grosse Isle,Vermilion,Acadiana
Grosse Tete,Iberville,Capital
Grove,Webster,Northwest
Gueydan,Vermilion,Acadiana
Gullett,Tangipahoa,Southeast
Gum Ridge,Morehouse,Northeast
Gurley,East Feliciana,Capital
Guthrie,Ouachita,Northeast
Guy,Allen,Southwest
Guyton,Ouachita,Northeast
Haas,Avoyelles,Central
Hackberry,Cameron,Southwest
Hackley,Washington,Southeast
Haddens,Vernon,Central
Hagewood,Natchitoches,Northwest
Hahnville,St. Charles,Southeast
Haile,Union,Northeast
Hall Summit,Red River,Northwest
Hamburg,Avoyelles,Central
Hammock,Ouachita,Northeast
Hammond,Tangipahoa,Southeast
Hanna,Red River,Northwest
Happy Jack,Plaquemines,Southeast
Harahan,Jefferson,Southeast
Hardwood,West Feliciana,Capital
Harelson,East Baton Rouge,Capital
Hargis,Grant,Central
Harmon,Red River,Northwest
Harris,Natchitoches,Northwest
Harrisonburg,Catahoula,Central
Harvey,Jefferson,Southeast
Hathaway,Jefferson Davis,Southwest
Haughton,Bossier,Northwest
Hawthorn,Vernon,Central
Hayes,Calcasieu,Southwest
Haynesville,Claiborne,Northwest
Hazelwood,St. Landry,Acadiana
Head of Island,Livingston,Capital
Hebert,Caldwell,Northeast
Hecker,Calcasieu,Southwest
Hedgeland,Tensas,Northeast
Heflin,Webster,Northwest
Helena,Tensas,Northeast
Henderson,St. Martin,Acadiana
Henry,Vermilion,Acadiana
Hermitage,Pointe Coupee,Capital
Hessmer,Avoyelles,Central
Hester,St. James,Southeast
Hickory,Avoyelles,Central
Hickory,St. Tammany,Southeast
Hickory Valley,Winn,Central
Hicks,Vernon,Central
Hico,Lincoln,Northwest
Highland,East Carroll,Northeast
Highland,Tensas,Northeast
Hill,Winn,Central
Hillsdale,St. Helena,Capital
Hilltop,Jackson,Northwest
Hilly,Lincoln,Northwest
Hineston,Rapides,Central
Hobart,Ascension,Capital
Hodge,Jackson,Northwest
Hohen Solms,Ascension,Capital
Holden,Livingston,Capital
Holloway,Rapides,Central
Holly,DeSoto,Northwest
Holly Beach,Cameron,Southwest
Holly Grove,Franklin,Northeast
Holly Ridge,Richland,Northeast
Holly Ridge,Tensas,Northeast
Hollywood,Terrebonne,Bayou
Hollywood,West Feliciana,Capital
Holmwood,Calcasieu,Southwest
Holton,Tangipahoa,Southeast
Holum,Caldwell,Northeast
Homeplace,Plaquemines,Southeast
Homer,Claiborne,Northwest
Hoods Mill,Jackson,Northwest
Hope Villa,Ascension,Capital
Hopedale,St. Bernard,Southeast
Hornbeck,Vernon,Central
Hortman,Webster,Northwest
Hosston,Caddo,Northwest
Hot Wells,Rapides,Central
Houltonville,St. Tammany,Southeast
Houma,Terrebonne,Bayou
Houston River,Calcasieu,Southwest
Howard,Red River,Northwest
Howcott,Grant,Central
Howell,East Baton Rouge,Capital
Hudson,Winn,Central
Hughes,Bossier,Northwest
Humphreys,Terrebonne,Bayou
Hunter,DeSoto,Northwest
Hurricane,Claiborne,Northwest
Husser,Tangipahoa,Southeast
Hutton,Vernon,Central
Hygeia,St. Tammany,Southeast
Hymel,St. James,Southeast
Iberia,Iberia,Acadiana
Iberville,Iberville,Capital
Ida,Caddo,Northwest
Idlewild,St. Mary,Bayou
Independence,Tangipahoa,Southeast
Indian Bayou,Vermilion,Acadiana
Indian Mound,East Baton Rouge,Capital
Indian Village,Allen,Southwest
Indian Village,Iberville,Capital
Indian Village,Ouachita,Northeast
Innis,Pointe Coupee,Capital
Inniswold,East Baton Rouge,Capital
Intracoastal City,Vermilion,Acadiana
Invincible,Webster,Northwest
Iota,Acadia,Acadiana
Iowa,Calcasieu,Southwest
Irene,East Baton Rouge,Capital
Irish Bend,St. Mary,Bayou
Irma,Natchitoches,Northwest
Isabel,Washington,Southeast
Isle Labbe,St. Martin,Acadiana
Ivan,Bossier,Northwest
Jack,St. Helena,Capital
Jack Millers,Iberville,Capital
Jackson,East Feliciana,Capital
Jacoby,Pointe Coupee,Capital
Jamestown,Bienville,Northwest
Janie,Natchitoches,Northwest
Jarreau,Pointe Coupee,Capital
Jean Lafitte,Jefferson,Southeast
Jeanerette,Iberia,Acadiana
Jefferson,Jefferson,Southeast
Jefferson Island,Iberia,Acadiana
Jena,LaSalle,Central
Jenkins,Washington,Southeast
Jennings,Jefferson Davis,Southwest
Jesuit's Bend,Plaquemines,Southeast
Jigger,Franklin,Northeast
Johnson,St. John the Baptist,Southeast
Johnsons Bayou,Cameron,Southwest
Jones,Morehouse,Northeast
Jonesboro,Jackson,Northwest
Jonesburg,Richland,Northeast
Jonesville,Catahoula,Central
Jordan Hill,Winn,Central
Jourda,St. Bernard,Southeast
Joyce,Winn,Central
Juanita,Beauregard,Southwest
Junction City,Union,Northeast
Justina,Tensas,Northeast
Kadesh,Grant,Central
Kahns,West Baton Rouge,Capital
Kaplan,Vermilion,Acadiana
Kateland,Grant,Central
Katy,St. Mary,Bayou
Keatchie,DeSoto,Northwest
Keithville,Caddo,Northwest
Kelleys,Jackson,Northwest
Kelly,Caldwell,Northeast
Kenilworth,St. Bernard,Southeast
Kenner,Jefferson,Southeast
Kentwood,Tangipahoa,Southeast
Kernan,Beauregard,Southwest
Keystone,St. Martin,Acadiana
Kilbourne,West Carroll,Northeast
Killian,Livingston,Capital
Killona,St. Charles,Southeast
Kinder,Allen,Southwest
King,Madison,Northeast
Kingston,DeSoto,Northwest
Kisatchie,Natchitoches,Northwest
Kleinpeter,East Baton Rouge,Capital
Klotzville,Assumption,Bayou
Knapp,Pointe Coupee,Capital
Knight,Vernon,Central
Kolin,Rapides,Central
Koran,Bossier,Northwest
Kraemer,Lafourche,Bayou
Krotz Springs,St. Landry,Acadiana
Kurthwood,Vernon,Central
La Branche,St. Charles,Southeast
La Rosen,Caddo,Northwest
Labadieville,Assumption,Bayou
Labarre,Pointe Coupee,Capital
Lacamp,Vernon,Central
Lacassine,Jefferson Davis,Southwest
Lachute,Caddo,Northwest
Lacombe,St. Tammany,Southeast
Lacour,Pointe Coupee,Capital
Lafayette,Lafayette,Acadiana
Lafitte,Jefferson,Southeast
Lafourche,Lafourche,Bayou
Lafourche,Lafourche,Bayou
Lagan,St. James,Southeast
Lake,Ascension,Capital
Lake Arthur,Jefferson Davis,Southwest
Lake Bridge,Terrebonne,Bayou
Lake Bruin,Tensas,Northeast
Lake Catherine,Orleans,Southeast
Lake Charles,Calcasieu,Southwest
Lake End,Red River,Northwest
Lake Providence,East Carroll,Northeast
Lake St. John,Concordia,Central
Lakeland,Pointe Coupee,Capital
Lakeview,Natchitoches,Northwest
Lamar,Franklin,Northeast
Lamkin,Ouachita,Northeast
Lamourie,Rapides,Central
Landry,Lafayette,Acadiana
Langston,Claiborne,Northwest
Lapine,Ouachita,Northeast
LaPlace,St. John the Baptist,Southeast
Laran,Union,Northeast
L'Argent,Concordia,Central
Larose,Lafourche,Bayou
Larto,Catahoula,Central
LaSalle,LaSalle,Central
Latanier,Rapides,Central
Lauderdale,Allen,Southwest
Lauderdale,St. James,Southeast
Laurel Grove,Lafourche,Bayou
Laurel Hill,West Feliciana,Capital
Lavacca,Catahoula,Central
Lawhon,Bienville,Northwest
Lawtell,St. Landry,Acadiana
Le Blanc,Allen,Southwest
Le Moyen,St. Landry,Acadiana
Leander,Vernon,Central
Lebanon,East Carroll,Northeast
